"MTU (UTC)","Area","Sequence","Day-ahead Price (EUR/MWh)","Intraday Period (UTC)","Intraday Price (EUR/MWh)"
"30/11/2025 23:00:00 - 30/11/2025 23:15:00","BZN|DE-LU","Sequence Sequence 1","90.91","",""
"30/11/2025 23:00:00 - 30/11/2025 23:15:00","BZN|DE-LU","Sequence Sequence 2","88.59","",""
"30/11/2025 23:15:00 - 30/11/2025 23:30:00","BZN|DE-LU","Sequence Sequence 1","90.44","",""
"30/11/2025 23:15:00 - 30/11/2025 23:30:00","BZN|DE-LU","Sequence Sequence 2","80.60","",""
"30/11/2025 23:30:00 - 30/11/2025 23:45:00","BZN|DE-LU","Sequence Sequence 1","86.29","",""
"30/11/2025 23:30:00 - 30/11/2025 23:45:00","BZN|DE-LU","Sequence Sequence 2","84.72","",""
"30/11/2025 23:45:00 - 01/12/2025 00:00:00","BZN|DE-LU","Sequence Sequence 1","84.34","",""
"30/11/2025 23:45:00 - 01/12/2025 00:00:00","BZN|DE-LU","Sequence Sequence 2","88.40","",""
"01/12/2025 00:00:00 - 01/12/2025 00:15:00","BZN|DE-LU","Sequence Sequence 1","90.79","",""
"01/12/2025 00:00:00 - 01/12/2025 00:15:00","BZN|DE-LU","Sequence Sequence 2","82.59","",""
"01/12/2025 00:15:00 - 01/12/2025 00:30:00","BZN|DE-LU","Sequence Sequence 1","85.05","",""
"01/12/2025 00:15:00 - 01/12/2025 00:30:00","BZN|DE-LU","Sequence Sequence 2","83.60","",""
"01/12/2025 00:30:00 - 01/12/2025 00:45:00","BZN|DE-LU","Sequence Sequence 1","85.46","",""
"01/12/2025 00:30:00 - 01/12/2025 00:45:00","BZN|DE-LU","Sequence Sequence 2","82.40","",""
"01/12/2025 00:45:00 - 01/12/2025 01:00:00","BZN|DE-LU","Sequence Sequence 1","82.79","",""
"01/12/2025 00:45:00 - 01/12/2025 01:00:00","BZN|DE-LU","Sequence Sequence 2","81.40","",""
"01/12/2025 01:00:00 - 01/12/2025 01:15:00","BZN|DE-LU","Sequence Sequence 1","85.03","",""
"01/12/2025 01:00:00 - 01/12/2025 01:15:00","BZN|DE-LU","Sequence Sequence 2","81.60","",""
"01/12/2025 01:15:00 - 01/12/2025 01:30:00","BZN|DE-LU","Sequence Sequence 1","81.35","",""
"01/12/2025 01:15:00 - 01/12/2025 01:30:00","BZN|DE-LU","Sequence Sequence 2","84.20","",""
"01/12/2025 01:30:00 - 01/12/2025 01:45:00","BZN|DE-LU","Sequence Sequence 1","78.91","",""
"01/12/2025 01:30:00 - 01/12/2025 01:45:00","BZN|DE-LU","Sequence Sequence 2","84.20","",""
"01/12/2025 01:45:00 - 01/12/2025 02:00:00","BZN|DE-LU","Sequence Sequence 1","80.07","",""
"01/12/2025 01:45:00 - 01/12/2025 02:00:00","BZN|DE-LU","Sequence Sequence 2","73.60","",""
"01/12/2025 02:00:00 - 01/12/2025 02:15:00","BZN|DE-LU","Sequence Sequence 1","86.29","",""
"01/12/2025 02:00:00 - 01/12/2025 02:15:00","BZN|DE-LU","Sequence Sequence 2","77.60","",""
"01/12/2025 02:15:00 - 01/12/2025 02:30:00","BZN|DE-LU","Sequence Sequence 1","85.02","",""
"01/12/2025 02:15:00 - 01/12/2025 02:30:00","BZN|DE-LU","Sequence Sequence 2","80.78","",""
"01/12/2025 02:30:00 - 01/12/2025 02:45:00","BZN|DE-LU","Sequence Sequence 1","82.80","",""
"01/12/2025 02:30:00 - 01/12/2025 02:45:00","BZN|DE-LU","Sequence Sequence 2","80.78","",""
"01/12/2025 02:45:00 - 01/12/2025 03:00:00","BZN|DE-LU","Sequence Sequence 1","86.45","",""
"01/12/2025 02:45:00 - 01/12/2025 03:00:00","BZN|DE-LU","Sequence Sequence 2","78.60","",""
"01/12/2025 03:00:00 - 01/12/2025 03:15:00","BZN|DE-LU","Sequence Sequence 1","80.08","",""
"01/12/2025 03:00:00 - 01/12/2025 03:15:00","BZN|DE-LU","Sequence Sequence 2","82.41","",""
