"MTU (UTC)","Area","Day-ahead (MW)","Intraday (MW)","Current (MW)","Actual (MW)"
"01/12/2025 00:00:00 - 01/12/2025 00:15:00","BZN|DE-LU","15025.99","16996.48","16996.48","17656.78"
"01/12/2025 00:15:00 - 01/12/2025 00:30:00","BZN|DE-LU","14740.55","17040.32","17040.32","17590.58"
"01/12/2025 00:30:00 - 01/12/2025 00:45:00","BZN|DE-LU","14492.43","17050.23","17050.23","17313.54"
"01/12/2025 00:45:00 - 01/12/2025 01:00:00","BZN|DE-LU","14265.44","16992.20","16992.20","16981.11"
"01/12/2025 01:00:00 - 01/12/2025 01:15:00","BZN|DE-LU","14100.01","16815.53","16815.53","16753.76"
"01/12/2025 01:15:00 - 01/12/2025 01:30:00","BZN|DE-LU","13971.33","16626.46","16626.46","16490.96"
"01/12/2025 01:30:00 - 01/12/2025 01:45:00","BZN|DE-LU","13847.32","16384.52","16384.52","16373.61"
"01/12/2025 01:45:00 - 01/12/2025 02:00:00","BZN|DE-LU","13749.18","15978.89","15978.89","16169.10"
"01/12/2025 02:00:00 - 01/12/2025 02:15:00","BZN|DE-LU","13680.90","15973.61","15973.61","16036.19"
"01/12/2025 02:15:00 - 01/12/2025 02:30:00","BZN|DE-LU","13604.37","15818.48","15818.48","16043.67"
"01/12/2025 02:30:00 - 01/12/2025 02:45:00","BZN|DE-LU","13530.89","15729.33","15729.33","16084.23"
"01/12/2025 02:45:00 - 01/12/2025 03:00:00","BZN|DE-LU","13464.19","15574.48","15574.48","16199.19"
"01/12/2025 03:00:00 - 01/12/2025 03:15:00","BZN|DE-LU","13362.27","15552.85","15552.85","16233.43"
"01/12/2025 03:15:00 - 01/12/2025 03:30:00","BZN|DE-LU","13305.09","15723.01","15723.01","16233.86"
"01/12/2025 03:30:00 - 01/12/2025 03:45:00","BZN|DE-LU","13245.78","15883.88","15883.88","16100.82"
"01/12/2025 03:45:00 - 01/12/2025 04:00:00","BZN|DE-LU","13194.21","15989.30","15989.30","15961.55"
"01/12/2025 04:00:00 - 01/12/2025 04:15:00","BZN|DE-LU","13168.42","15772.26","15772.26","16044.09"
"01/12/2025 04:15:00 - 01/12/2025 04:30:00","BZN|DE-LU","13280.09","15477.60","15477.60","16174.06"
"01/12/2025 04:30:00 - 01/12/2025 04:45:00","BZN|DE-LU","13395.94","15299.46","15299.46","15922.91"
"01/12/2025 04:45:00 - 01/12/2025 05:00:00","BZN|DE-LU","13508.81","15438.23","15438.23","15578.90"
"01/12/2025 05:00:00 - 01/12/2025 05:15:00","BZN|DE-LU","13853.03","16037.25","16037.25","15725.00"
"01/12/2025 05:15:00 - 01/12/2025 05:30:00","BZN|DE-LU","13976.27","15968.94","15968.94","15707.35"
"01/12/2025 05:30:00 - 01/12/2025 05:45:00","BZN|DE-LU","14105.01","15786.38","15784.62","15931.10"
"01/12/2025 05:45:00 - 01/12/2025 06:00:00","BZN|DE-LU","14202.71","15563.33","15559.52","16226.62"
"01/12/2025 06:00:00 - 01/12/2025 06:15:00","BZN|DE-LU","14244.86","15663.80","15657.77","16673.67"
"01/12/2025 06:15:00 - 01/12/2025 06:30:00","BZN|DE-LU","14334.49","15730.54","15731.70","16833.32"
